inputs,target
"I like all kinds of music, but my favorite genre is rock. What's your favorite band? @ I've never heard of them. I'll have to look them up. My favorite is the Beatles.",My favorite band is Led Zeppelin. They were formed in 1962.
My favorite band is Led Zeppelin. They were formed in 1962. @ They are an English rock band from Liverpool. Do you like any other bands?,I've never heard of them. I'll have to look them up. My favorite is the Beatles.
I would love to visit Paris someday. What is your favorite cuisine there? @ I love italian as well. I would have to say my favorite food is pizza. What about you?,"I love Italian food, especially pasta. What's your favorite food in the world?"
"I love Italian food, especially pasta. What's your favorite food in the world? @ Pizza is my favorite as well! I also love pasta, especially fettuccine alfredo.",I love italian as well. I would have to say my favorite food is pizza. What about you?
"Pizza is my favorite as well! I also love pasta, especially fettuccine alfredo. @ It's a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven.","I have never had that, but I have heard of it. What is it made of?"
"It's a traditional Italian dish consisting of a yeasted flatbread typically topped with tomato sauce and cheese and baked in an oven. @ You definitely should! It's one of the most popular dishes in the world, so I'm sure you'll love it!","Oh wow, that sounds really good. I think I will have to try it sometime."
"I love to play video games, especially Call of Duty. What kind of hobbies do you have? @ I love to read too! What is your favorite genre of books? Mine is fantasy.","Video games are fun, I enjoy playing them as well. I also like to read."
"Video games are fun, I enjoy playing them as well. I also like to read. @ I like fantasy as well, but my favorite is sci fi. What about you?",I love to read too! What is your favorite genre of books? Mine is fantasy.
I love to read too! What is your favorite genre of books? Mine is fantasy. @ I love sci-fi as well! I also love fantasy novels. Do you have a favorite author?,"I like fantasy as well, but my favorite is sci fi. What about you?"
"My favorite author is Stephen King. Have you read any of his books? What's your favorite? @ I haven't read that one yet, but it's on my list. I love his horror and supernatural fiction.",I have read a few of his. My favorite is probably The Shining. What is yours?
"I'm not familiar with them. What kind of music do they play? I like pop punk. @ Oh, I see. Do you have a favorite band? Mine is The Story So Far.",Pop punk is a genre of rock music that originated in the United States in the late 1980s.
"Pop punk is a genre of rock music that originated in the United States in the late 1980s. @ I love the story so far. They are an American rock band formed in Los Angeles, California.","Oh, I see. Do you have a favorite band? Mine is The Story So Far."
"Oh, I see. Do you have a favorite band? Mine is The Story So Far. @ Yeah, they're pretty good. I like how they incorporate pop elements into their music.","I love the story so far. They are an American rock band formed in Los Angeles, California."
"I love the story so far. They are an American rock band formed in Los Angeles, California. @ Yes, they are very talented. They have released three studio albums so far!","Yeah, they're pretty good. I like how they incorporate pop elements into their music."
"Yes, they are very talented. They have released three studio albums so far! @ You definitely should. They are one of the most influential bands of the 2000s.","Oh wow, I didn't know that. I'll have to check them out sometime."
"Oh wow, I didn't know that. I'll have to check them out sometime. @ I'll definitely have to look them up. I'm always looking for new music to listen to.",You definitely should. They are one of the most influential bands of the 2000s.
"I do not know that, but I do know that blue is one of the three primary colours of pigments in painting. @ That is interesting, I didn't know that. Do you have any other interesting facts about blue?","Yes, it lies between violet and green on the spectrum of visible light."
"That is interesting, I didn't know that. Do you have any other interesting facts about blue? @ Wow, that is really interesting. I wonder if it has something to do with how the eye perceives it.",The sky and sea appear blue because of an optical effect known as Rayleigh scattering.
"That's cool. I don't live near any lakes, but I do have a pond in my backyard. @ That must be nice. I would love to live near the ocean or lake.",I live near a lake and a river. I love swimming in the lake.
I live near a lake and a river. I love swimming in the lake. @ It is very nice. We have a lot of lakes and rivers in our area.,That must be nice. I would love to live near the ocean or lake.
"That must be nice. I would love to live near the ocean or lake. @ That's great. Do you ever go fishing? I love fishing, it's so relaxing.",It is very nice. We have a lot of lakes and rivers in our area.
"It is very nice. We have a lot of lakes and rivers in our area. @ I have never been fishing before, but I would like to try it someday.","That's great. Do you ever go fishing? I love fishing, it's so relaxing."
"That's great. Do you ever go fishing? I love fishing, it's so relaxing. @ It's very relaxing, you should give it a try sometime. What do you like to do in your spare time?","I have never been fishing before, but I would like to try it someday."
"I have never been fishing before, but I would like to try it someday. @ I like to play video games and listen to music. What about you? Do you have any hobbies?","It's very relaxing, you should give it a try sometime. What do you like to do in your spare time?"
"It's very relaxing, you should give it a try sometime. What do you like to do in your spare time? @ I like to go fishing, it's a great way to spend time with friends and family. What kind of music do you listen to?",I like to play video games and listen to music. What about you? Do you have any hobbies?
"I like to play video games and listen to music. What about you? Do you have any hobbies? @ I listen to a little bit of everything, but my favorite is country music. Do you like fishing?","I like to go fishing, it's a great way to spend time with friends and family. What kind of music do you listen to?"
"That's true, but I think rock music is one of the most popular genres of music. @ Yes, I agree. Rock music has been around since the late 1960s and early 1970s.",Rock music is a great genre. It has roots in blues rock and psychedelic rock.
Rock music is a great genre. It has roots in blues rock and psychedelic rock. @ I love rock music. It originated in the United States in the 1960's and 1970's.,"Yes, I agree. Rock music has been around since the late 1960s and early 1970s."
"Yes, I agree. Rock music has been around since the late 1960s and early 1970s. @ Yes, rock music is very popular in the U.S. as well as the UK, Australia, and New Zealand.",I love rock music. It originated in the United States in the 1960's and 1970's.
I love rock music. It originated in the United States in the 1960's and 1970's. @ Yes it is. It has roots in blues rock and psychedelic rock.,"Yes, rock music is very popular in the U.S. as well as the UK, Australia, and New Zealand."
Yes it is. It has roots in blues rock and psychedelic rock. @ It The Beatles are one of the most influential bands of all time.,"Yes, it does. It was developed in the late 1960s and early 1970s."
It The Beatles are one of the most influential bands of all time. @ That's right. They formed the Beatlemania in the 1960's.,"Yes, they are. They were formed in Liverpool, England in 1960."
"Yes, I can hold my breath for quite a while. Do you have any hobbies? @ Video games are fun, but I'm more of an outdoorsy person. I like to hike and camp.",I like to play video games.  What about you?  What do you like to do?
I like to play video games.  What about you?  What do you like to do? @ Outdoor activities are fun.  I enjoy hiking and camping as well.,"Video games are fun, but I'm more of an outdoorsy person. I like to hike and camp."
"Video games are fun, but I'm more of an outdoorsy person. I like to hike and camp. @ Camping is a lot of fun. Do you have a favorite place to go camping?",Outdoor activities are fun.  I enjoy hiking and camping as well.
Outdoor activities are fun.  I enjoy hiking and camping as well. @ I love camping in the mountains.  It's so peaceful.  What about you?,Camping is a lot of fun. Do you have a favorite place to go camping?
Camping is a lot of fun. Do you have a favorite place to go camping? @ I like to camp in the woods. It's nice to be away from people for a while.,I love camping in the mountains.  It's so peaceful.  What about you?
It really is.  I love the solitude.  Do you like to hike? @ Me too!  It's so relaxing.  What's your favorite place you've hiked?,I love hiking! It's one of my favorite things to do in the summer.
"That's too bad. Do you have any hobbies that take your mind off of work? @ Video games are fun, but I'm more of an outdoorsy person. I like to hike and camp.","Yes, I love to play video games. What about you? What are your hobbies?"
"Yes, I love to play video games. What about you? What are your hobbies? @ I love hiking and camping as well. What is your favorite outdoor activity?","Video games are fun, but I'm more of an outdoorsy person. I like to hike and camp."
"Video games are fun, but I'm more of an outdoorsy person. I like to hike and camp. @ Outdoor activities like hiking, camping, and fishing are my favorites.",I love hiking and camping as well. What is your favorite outdoor activity?
I love hiking and camping as well. What is your favorite outdoor activity? @ Have you ever been camping? It is a great way to get away from the city.,"Outdoor activities like hiking, camping, and fishing are my favorites."
"Outdoor activities like hiking, camping, and fishing are my favorites. @ I have never been, but I would love to go camping in the wilderness.",Have you ever been camping? It is a great way to get away from the city.
Have you ever been camping? It is a great way to get away from the city. @ Camping is a lot of fun. You should try it sometime. It can be very relaxing.,"I have never been, but I would love to go camping in the wilderness."
"That's cool. What do you do for a living? I'm going to be a teacher. @ I'm still in high school, so I don't have a job yet. What grade do you want to teach?",I am a teacher as well.  I love it.  What grade do you want to teach?
I am a teacher as well.  I love it.  What grade do you want to teach? @ I would like to teach kindergarten.  How long have you been a teacher?,"I'm still in high school, so I don't have a job yet. What grade do you want to teach?"
"I'm still in high school, so I don't have a job yet. What grade do you want to teach? @ I've been teaching for about 5 years now. I really enjoy it. What do you like to do in your spare time?",I would like to teach kindergarten.  How long have you been a teacher?
I've been teaching for about 5 years now. I really enjoy it. What do you like to do in your spare time? @ I enjoy playing video games as well. I also like to go to the beach and surf.,I like to play video games.  What about you?  Do you have any hobbies?
I enjoy playing video games as well. I also like to go to the beach and surf. @ It is so much fun. You should give it a try. It is a great workout.,"That sounds like a lot of fun.  I've never been surfing, but I'd love to try it someday."
"No, I have never had a heart attack, but I have had a stroke. @ I have no idea. It was a sudden heart attack in my sleep. I was so scared.","Oh, I'm sorry to hear that. I hope you're doing okay. Do you know what caused it?"
"Oh, I'm sorry to hear that. I hope you're doing okay. Do you know what caused it? @ That's so scary! I'm glad you're okay. Did you go to the doctor?",I have no idea. It was a sudden heart attack in my sleep. I was so scared.
"Yes, I went to the ER and they gave me some antibiotics. @ I am feeling a lot better now, thank you for your concern. I was so scared.","Oh no, I'm so sorry to hear that. I hope you're feeling better now."
"Oh no, I'm so sorry to hear that. I hope you're feeling better now. @ I'm glad to hear you are feeling better. It's always scary when you're sick.","I am feeling a lot better now, thank you for your concern. I was so scared."
It's going to be a week.  I can't wait.  Do you have any plans? @ That sounds like a lot of fun.  What beach are you going to go to?,"Yes, I am going to the beach with my family. I am so looking forward to it."
That sounds like a lot of fun.  What beach are you going to go to? @ I have never been either.  I hope you have a great time.  Is it your first time?,"I'm going to Panama City Beach, Florida. I've never been there before."
I have never been either.  I hope you have a great time.  Is it your first time? @ That sounds like a lot of fun.  Have you ever been to a beach like that before?,"Yes, it will be my first time there. I'm really looking forward to it."
"Yes, it will be my first time there. I'm really looking forward to it. @ No, I've never been to the beach before. I can't wait to go!",That sounds like a lot of fun.  Have you ever been to a beach like that before?
"That sounds like a lot of fun.  Have you ever been to a beach like that before? @ I hope you have a great time!  I have never been either, but I have always wanted to go.","No, I've never been to the beach before. I can't wait to go!"
It's beautiful. It's the most populous state in the contiguous United States. @ I like to go to the beach and surf. What do you do for fun?,That's good to know. I'll have to check it out one day. What else do you like to do in your spare time?
I like racing games like F1 and Fortnite. Do you play any video games? @ I love to read as well. What is your favorite genre? Mine is science fiction.,"No, I don't play many video games. I'm more of a reader than a gamer."
"No, I don't play many video games. I'm more of a reader than a gamer. @ I like sci-fi as well, but my favorite is fantasy. What about you?",I love to read as well. What is your favorite genre? Mine is science fiction.
That's good to hear. Do you have any hobbies that you like to do with your friends? @ I like playing video games too. I also like to go to the movies. What kind of video games do you like?,I like to play video games with my friends. It's a lot of fun. What about you?
I'm sure you'll figure it out when the time is right. Do you have any hobbies? @ I enjoy playing video games as well. I'm currently studying to be a nurse.,"Yes, I like to play video games. What about you? What are you studying?"
"Yes, I like to play video games. What about you? What are you studying? @ That's great! I hope you enjoy it as much as I do. What kind of nurse are you going to be?",I enjoy playing video games as well. I'm currently studying to be a nurse.
"No, I haven't. What kind of music is it? Is it similar to the Beatles? @ I'll have to look them up. I'm always looking for new music to listen to.",It's a rock band. They were formed in Liverpool in 1962.
"It's a rock band. They were formed in Liverpool in 1962. @ They are pretty good. They are an English rock band formed by John Lennon, Paul McCartney, George Harrison, and Ringo Starr.",I'll have to look them up. I'm always looking for new music to listen to.
"I'll have to look them up. I'm always looking for new music to listen to. @ Oh wow, I didn't know that. Do you have a favorite song of theirs?","They are pretty good. They are an English rock band formed by John Lennon, Paul McCartney, George Harrison, and Ringo Starr."
"They are pretty good. They are an English rock band formed by John Lennon, Paul McCartney, George Harrison, and Ringo Starr. @ I really like the song ""Love Me Do"". It was released in 1962.","Oh wow, I didn't know that. Do you have a favorite song of theirs?"
"Oh wow, I didn't know that. Do you have a favorite song of theirs? @ I'll have to check it out. I'm a big fan of the Beatles. They were formed in Liverpool in 1960.","I really like the song ""Love Me Do"". It was released in 1962."
"I really like the song ""Love Me Do"". It was released in 1962. @ Yes, they were. They are one of the most influential bands of all time.",I'll have to check it out. I'm a big fan of the Beatles. They were formed in Liverpool in 1960.
"Yes, they were. They are one of the most influential bands of all time. @ I know, they have sold more than 350 million albums world wide. That is insane!",They really are. They have sold over 70 million records worldwide. That's a lot of money.
"I have seen a few skunks in my life. They are very skunky. @ I do not, but I would love to get a dog. I hear they are great companions.","Do you have any pets? I have a dog, he's a beagle."
"Do you have any pets? I have a dog, he's a beagle. @ Yes, they are. They're great for companionship and they can be trained to hunt vermin.","I do not, but I would love to get a dog. I hear they are great companions."
"I do not, but I would love to get a dog. I hear they are great companions. @ That sounds like a lot of fun. Do you ever take them to the beach?","Yes, they are. They're great for companionship and they can be trained to hunt vermin."
"Yes, they are. They're great for companionship and they can be trained to hunt vermin. @ No, I don't live near a beach. I live in a rural area.",That sounds like a lot of fun. Do you ever take them to the beach?
That sounds like a lot of fun. Do you ever take them to the beach? @ That's too bad. The beach is one of my favorite places to go with my family.,"No, I don't live near a beach. I live in a rural area."
